-2;1;0;HC;18.6028
-2;1;0;PMx;1.95626
-2;1;0;NOx;0
-2;1;0;fuel;0.666996
-2;1;0;electricity;0
-2;1.2;0;CO;288.568
-2;1.2;0;CO2;1431.81
-2;1.2;0;HC;18.3847
-2;1.2;0;PMx;1.93019
-2;1.2;0;NOx;0
-2;1.2;0;fuel;0.618509
-2;1.2;0;electricity;0
-2;1.4;0;CO;280.857
-2;1.4;0;CO2;1318.26
-2;1.4;0;HC;18.1666
-2;1.4;0;PMx;1.90411
-2;1.4;0;NOx;0
-2;1.4;0;fuel;0.570021
-2;1.4;0;electricity;0
-2;1.6;0;CO;273.146
-2;1.6;0;CO2;1204.7
-2;1.6;0;HC;17.9484
-2;1.6;0;PMx;1.87803
-2;1.6;0;NOx;0
-2;1.6;0;fuel;0.521533
-2;1.6;0;electricity;0
-2;1.8;0;CO;265.434
-2;1.8;0;CO2;1091.14
-2;1.8;0;HC;17.7303
-2;1.8;0;PMx;1.85195
-2;1.8;0;NOx;0
-2;1.8;0;fuel;0.473046
-2;1.8;0;electricity;0
-1.5;-4;0;CO;0
-1.5;-4;0;CO2;0
-1.5;-4;0;HC;0
-1.5;-4;0;PMx;0
-1.5;-4;0;NOx;0
-1.5;-4;0;fuel;0
-1.5;-4;0;electricity;0
-1.5;-3.8;0;CO;0
-1.5;-3.8;0;CO2;0
-1.5;-3.8;0;HC;0
-1.5;-3.8;0;PMx;0
-1.5;-3.8;0;NOx;0
-1.5;-3.8;0;fuel;0
-1.5;-3.8;0;electricity;0
-1.5;-3.6;0;CO;0
-1.5;-3.6;0;CO2;0
-1.5;-3.6;0;HC;0
-1.5;-3.6;0;PMx;0
-1.5;-3.6;0;NOx;0
-1.5;-3.6;0;fuel;0
-1.5;-3.6;0;electricity;0
-1.5;-3.4;0;CO;0
-1.5;-3.4;0;CO2;0
-1.5;-3.4;0;HC;0
-1.5;-3.4;0;PMx;0
-1.5;-3.4;0;NOx;0
-1.5;-3.4;0;fuel;0
-1.5;-3.4;0;electricity;0
-1.5;-3.2;0;CO;0
-1.5;-3.2;0;CO2;0
-1.5;-3.2;0;HC;0
-1.5;-3.2;0;PMx;0
-1.5;-3.2;0;NOx;0
-1.5;-3.2;0;fuel;0
-1.5;-3.2;0;electricity;0
-1.5;-3;0;CO;0
-1.5;-3;0;CO2;0
-1.5;-3;0;HC;0
-1.5;-3;0;PMx;0
-1.5;-3;0;NOx;0
-1.5;-3;0;fuel;0
-1.5;-3;0;electricity;0
-1.5;-2.8;0;CO;0
-1.5;-2.8;0;CO2;0
-1.5;-2.8;0;HC;0
-1.5;-2.8;0;PMx;0
-1.5;-2.8;0;NOx;0
-1.5;-2.8;0;fuel;0
-1.5;-2.8;0;electricity;0
-1.5;-2.6;0;CO;0
-1.5;-2.6;0;CO2;0
-1.5;-2.6;0;HC;0
-1.5;-2.6;0;PMx;0
-1.5;-2.6;0;NOx;0
-1.5;-2.6;0;fuel;0
-1.5;-2.6;0;electricity;0
-1.5;-2.4;0;CO;0
-1.5;-2.4;0;CO2;0
-1.5;-2.4;0;HC;0
-1.5;-2.4;0;PMx;0
-1.5;-2.4;0;NOx;0
-1.5;-2.4;0;fuel;0
-1.5;-2.4;0;electricity;0
-1.5;-2.2;0;CO;0
-1.5;-2.2;0;CO2;0
-1.5;-2.2;0;HC;0
-1.5;-2.2;0;PMx;0
